ID,Name,Type,Country,Title,Call Sign,Vessel Type,Tonnage,Gross Registered Tonnage,Vessel Flag,Vessel Owner,Aliases
15441,EP-MNJ,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 380; Aircraft Manufacture Date 31 Dec 1986; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15442,EP-MNK,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 618; Aircraft Manufacture Date 04 Sep 1991; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15443,EP-MNL,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 623; Aircraft Manufacture Date 23 Oct 1991; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15444,EP-MNQ,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 553; Aircraft Manufacture Date 08 Dec 1989; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15445,EK-30064,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 464; Aircraft Manufacture Date 17 May 1988; Aircraft Model A300B4-605R; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15449,EP-MHA,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 160; Aircraft Manufacture Date 17 Sep 1981; Aircraft Model A300B2K-3C; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15450,EP-MHF,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 55; Aircraft Manufacture Date 01 Mar 1978; Aircraft Model A300B4-103; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15451,EP-MHG,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 204; Aircraft Manufacture Date 29 Jul 1982; Aircraft Model A300B4-203; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15452,EP-MHJ,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 857; Aircraft Manufacture Date 18 Jun 1998; Aircraft Model A320-232; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15453,EP-MHL,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 175; Aircraft Manufacture Date 02 Feb 1982; Aircraft Model A300B4-203; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15454,EP-MHM,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 90; Aircraft Manufacture Date 05 Nov 1980; Aircraft Model A300B2K-3C; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15455,EP-MHO,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 488; Aircraft Manufacture Date 13 Jan 1989; Aircraft Model A310-304; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15456,EP-MHP,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 244; Aircraft Manufacture Date 09 Mar 1983; Aircraft Model A300B2K-3C; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15457,EP-MNA,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 811; Aircraft Manufacture Date 18 Feb 1993; Aircraft Model B.747-422; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 24383; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15458,EP-MNB,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 740; Aircraft Manufacture Date 20 Jul 1989; Aircraft Model B.747-422; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 24363; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15459,EP-MNC,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 973; Aircraft Manufacture Date 12 Apr 1993; Aircraft Model B.747-422; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 26879; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15460,EP-MND,aircraft,SDGT,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 632; Aircraft Manufacture Date 23 Jan 1986; Aircraft Model B747-3B3; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 23413; Linked To: MAHAN AIR.
15461,EP-MNE,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 641; Aircraft Manufacture Date 14 Apr 1986; Aircraft Model B747-3B3; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 23480; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15462,EP-MNM,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 773; Aircraft Manufacture Date 13 Nov 1986; Aircraft Model A300B4-605R; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15463,EP-MNN,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 701; Aircraft Manufacture Date 17 May 1993; Aircraft Model A300B4-605R; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15464,EP-MNO,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 595; Aircraft Manufacture Date 30 Aug 1991; Aircraft Model A310-308; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15465,EP-MNP,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 620; Aircraft Manufacture Date 08 Nov 1991; Aircraft Model A310-308; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15466,EP-MNR,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 411; Aircraft Manufacture Date 27 Mar 1987; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15467,EP-MNS,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 414; Aircraft Manufacture Date 17 Apr 1987; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15468,EP-MNT,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 546; Aircraft Manufacture Date 06 Nov 1989; Aircraft Model A300B4-603; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15469,EP-MNU,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 608; Aircraft Manufacture Date 10 Apr 1991; Aircraft Model A300B4-605R; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15470,EP-MNV,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 567; Aircraft Manufacture Date 03 Jan 1991; Aircraft Model A310-304; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15471,EP-MNX,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 564; Aircraft Manufacture Date 22 Nov 1990; Aircraft Model A310-304; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15472,EP-MOA,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 216; Aircraft Manufacture Date 18 Feb 1993; Aircraft Model B.146-300; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 3216; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15473,EP-MOB,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 212; Aircraft Manufacture Date 31 Jul 1992; Aircraft Model B.146-300; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 3212; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15474,EP-MOC,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 158; Aircraft Manufacture Date 18 May 1990; Aircraft Model B.146-300; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 3158; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15475,EP-MOE,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 129; Aircraft Manufacture Date 24 May 1989; Aircraft Model B.146-300; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 3129; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15476,EP-MOF,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 149; Aircraft Manufacture Date 19 Dec 1989; Aircraft Model B.146-300; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 3149; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15477,EP-MOG,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 165; Aircraft Manufacture Date 12 May 1990; Aircraft Model B.146-300; Aircraft Operator MAHAN AIR; Aircraft Manufacturer's Serial Number (MSN) 3165; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15478,EP-VIP,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 499; Aircraft Manufacture Date 20 Apr 1989; Aircraft Model A310-304; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15481,F-OJHH,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 586; Aircraft Manufacture Date 29 Mar 1991; Aircraft Model A310-304; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15482,F-OJHI,aircraft,SDGT] [NPWMD] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 537; Aircraft Manufacture Date 19 Jan 1990; Aircraft Model A310-304; Aircraft Operator MAHAN AIR; Additional Sanctions Information - Subject to Secondary Sanctions; Linked To: MAHAN AIR.
15613,YK-ANH,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 11406; Aircraft Manufacture Date 1981; Aircraft Model An-26B; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 17311406; Linked To: SYRIAN ARAB AIRLINES.
15614,YK-ANG,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 10907; Aircraft Manufacture Date 1981; Aircraft Model An-26B; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 17310907; Linked To: SYRIAN ARAB AIRLINES.
15617,YK-AYF,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 6349; Aircraft Manufacture Date 10 Oct 1984; Aircraft Model Tu-134B-3; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 66190; Linked To: SYRIAN ARAB AIRLINES.
15618,YK-AYE,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 6348; Aircraft Manufacture Date Sep 1984; Aircraft Model Tu-134B-3; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 66187; Linked To: SYRIAN ARAB AIRLINES.
15619,YK-AYB,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 6331; Aircraft Manufacture Date 1982; Aircraft Model Tu-134BK-3; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 63994; Linked To: SYRIAN ARAB AIRLINES.
15620,YK-AYA,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 6330; Aircraft Manufacture Date 1982; Aircraft Model Tu-134BK-3; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 63992; Linked To: SYRIAN ARAB AIRLINES.
15621,YK-AYD,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 6328; Aircraft Manufacture Date 1982; Aircraft Model Tu-134B-3; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 63990; Linked To: SYRIAN ARAB AIRLINES.
15622,YK-AYC,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 6327; Aircraft Manufacture Date 1982; Aircraft Model Tu-134B-3; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 63989; Linked To: SYRIAN ARAB AIRLINES.
15623,YK-AQG,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 5919; Aircraft Model Yak-40K(F); Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 9941959; Linked To: SYRIAN ARAB AIRLINES.
15624,YK-AQF,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 5918; Aircraft Model Yak-40; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 9931859; Linked To: SYRIAN ARAB AIRLINES.
15625,YK-AQE,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 5802; Aircraft Model Yak-40; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 9830258; Linked To: SYRIAN ARAB AIRLINES.
15626,YK-AQD,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 5801; Aircraft Model Yak-40; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 9830158; Linked To: SYRIAN ARAB AIRLINES.
15627,YK-AQB,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 4304; Aircraft Model Yak-40; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 9530443; Linked To: SYRIAN ARAB AIRLINES.
15628,YK-AQA,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 3219; Aircraft Model Yak-40; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 9341932; Linked To: SYRIAN ARAB AIRLINES.
15629,YK-ANF,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 3104; Aircraft Manufacture Date 1975; Aircraft Model An-26; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 57303104; Linked To: SYRIAN ARAB AIRLINES.
15740,YK-ANE,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 3103; Aircraft Manufacture Date 1975; Aircraft Model An-26; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 57303103; Linked To: SYRIAN ARAB AIRLINES.
15741,YK-AND,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 3008; Aircraft Manufacture Date 1975; Aircraft Model An-26; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 57303008; Linked To: SYRIAN ARAB AIRLINES.
15742,YK-ANC,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 3007; Aircraft Manufacture Date 1975; Aircraft Model An-26; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 57303007; Linked To: SYRIAN ARAB AIRLINES.
15743,YK-ATD,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 2309; Aircraft Manufacture Date 1981; Aircraft Model Il-76T; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 13431915; Linked To: SYRIAN ARAB AIRLINES.
15744,YK-ATC,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 2308; Aircraft Manufacture Date 1981; Aircraft Model Il-76T; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 13431911; Linked To: SYRIAN ARAB AIRLINES.
15745,YK-AGF,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 1788; Aircraft Manufacture Date 12 Nov 1981; Aircraft Model B.727-269; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 22763; Linked To: SYRIAN ARAB AIRLINES.
15746,YK-AGE,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 1716; Aircraft Manufacture Date 06 Feb 1981; Aircraft Model B.727-269; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 22361; Linked To: SYRIAN ARAB AIRLINES.
15747,YK-AGD,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 1670; Aircraft Manufacture Date 26 Sep 1980; Aircraft Model B.727-269; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 22360; Linked To: SYRIAN ARAB AIRLINES.
15748,YK-ATB,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 1605; Aircraft Manufacture Date 1979; Aircraft Model Il-76T; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 93421619; Linked To: SYRIAN ARAB AIRLINES.
15749,YK-ATA,aircraft,SDGT] [SYRIA] [IRGC] [IFSR,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,-0- ,Aircraft Construction Number (also called L/N or S/N or F/N) 1604; Aircraft Manufacture Date 1979; Aircraft Model Il-76T; Aircraft Operator Syrianair; Aircraft Manufacturer's Serial Number (MSN) 93421613; Linked To: SYRIAN ARAB AIRLINES.
